S 7
W 0 8
R 0 8
W 8 8
R 8 8
W 16 8
R 16 8
W 24 8
R 24 8
W 32 8
R 32 8
W 40 8
R 40 8
W 48 8
R 48 8
W 56 8
R 56 8
W 64 8
R 64 8
W 72 8
R 72 8
W 80 8
R 80 8
W 88 8
R 88 8
W 96 8
R 96 8
W 104 8
R 104 8
W 112 8
R 112 8
W 120 8
R 120 8
W 128 8
R 128 8
W 136 8
R 136 8
W 144 8
R 144 8
W 152 8
R 152 8
W 160 8
R 160 8
W 168 8
R 168 8
W 176 8
R 176 8
W 184 8
R 184 8
W 192 8
R 192 8
W 200 8
R 200 8
W 208 8
R 208 8
W 216 8
R 216 8
W 224 8
R 224 8
W 232 8
R 232 8
W 240 8
R 240 8
W 248 8
R 248 8
W 256 8
R 256 8
W 264 8
R 264 8
W 272 8
R 272 8
W 280 8
R 280 8
W 288 8
R 288 8
W 296 8
R 296 8
W 304 8
R 304 8
W 312 8
R 312 8
W 320 8
R 320 8
W 328 8
R 328 8
W 336 8
R 336 8
W 344 8
R 344 8
W 352 8
R 352 8
W 360 8
R 360 8
W 368 8
R 368 8
W 376 8
R 376 8
W 384 8
R 384 8
W 392 8
R 392 8
W 400 8
R 400 8
W 408 8
R 408 8
W 416 8
R 416 8
W 424 8
R 424 8
W 432 8
R 432 8
W 440 8
R 440 8
W 448 8
R 448 8
W 456 8
R 456 8
W 464 8
R 464 8
W 472 8
R 472 8
W 480 8
R 480 8
W 488 8
R 488 8
W 496 8
R 496 8
W 504 8
R 504 8
W 512 8
R 512 8
W 520 8
R 520 8
W 528 8
R 528 8
W 536 8
R 536 8
W 544 8
R 544 8
W 552 8
R 552 8
W 560 8
R 560 8
W 568 8
R 568 8
W 576 8
R 576 8
W 584 8
R 584 8
W 592 8
R 592 8
W 600 8
R 600 8
W 608 8
R 608 8
W 616 8
R 616 8
W 624 8
R 624 8
W 632 8
R 632 8
W 640 8
R 640 8
W 648 8
R 648 8
W 656 8
R 656 8
W 664 8
R 664 8
W 672 8
R 672 8
W 680 8
R 680 8
W 688 8
R 688 8
W 696 8
R 696 8
W 704 8
R 704 8
W 712 8
R 712 8
W 720 8
R 720 8
W 728 8
R 728 8
W 736 8
R 736 8
W 744 8
R 744 8
W 752 8
R 752 8
W 760 8
R 760 8
W 4 4
W 12 4
W 20 4
W 28 4
W 36 4
W 44 4
W 52 4
W 60 4
W 68 4
W 76 4
W 84 4
W 92 4
W 100 4
W 108 4
W 116 4
W 124 4
W 132 4
W 140 4
W 148 4
W 156 4
W 164 4
W 172 4
W 180 4
W 188 4
W 196 4
W 204 4
W 212 4
W 220 4
W 228 4
W 236 4
W 244 4
W 252 4
W 260 4
W 268 4
W 276 4
W 284 4
W 292 4
W 300 4
W 308 4
W 316 4
W 324 4
W 332 4
W 340 4
W 348 4
W 356 4
W 364 4
W 372 4
W 380 4
W 388 4
W 396 4
W 404 4
W 412 4
W 420 4
W 428 4
W 436 4
W 444 4
W 452 4
W 460 4
W 468 4
W 476 4
W 484 4
W 492 4
W 500 4
W 508 4
W 516 4
W 524 4
W 532 4
W 540 4
W 548 4
W 556 4
W 564 4
W 572 4
W 580 4
W 588 4
W 596 4
W 604 4
W 612 4
W 620 4
W 628 4
W 636 4
W 644 4
W 652 4
W 660 4
W 668 4
W 676 4
W 684 4
W 692 4
W 700 4
W 708 4
W 716 4
W 724 4
W 732 4
W 740 4
W 748 4
W 756 4
R 0 8
R 8 8
R 16 8
R 24 8
R 32 8
R 40 8
R 48 8
R 56 8
R 64 8
R 72 8
R 80 8
R 88 8
R 96 8
R 104 8
R 112 8
R 120 8
R 128 8
R 136 8
R 144 8
R 152 8
R 160 8
R 168 8
R 176 8
R 184 8
R 192 8
R 200 8
R 208 8
R 216 8
R 224 8
R 232 8
R 240 8
R 248 8
R 256 8
R 264 8
R 272 8
R 280 8
R 288 8
R 296 8
R 304 8
R 312 8
R 320 8
R 328 8
R 336 8
R 344 8
R 352 8
R 360 8
R 368 8
R 376 8
R 384 8
R 392 8
R 400 8
R 408 8
R 416 8
R 424 8
R 432 8
R 440 8
R 448 8
R 456 8
R 464 8
R 472 8
R 480 8
R 488 8
R 496 8
R 504 8
R 512 8
R 520 8
R 528 8
R 536 8
R 544 8
R 552 8
R 560 8
R 568 8
R 576 8
R 584 8
R 592 8
R 600 8
R 608 8
R 616 8
R 624 8
R 632 8
R 640 8
R 648 8
R 656 8
R 664 8
R 672 8
R 680 8
R 688 8
R 696 8
R 704 8
R 712 8
R 720 8
R 728 8
R 736 8
R 744 8
R 752 8
R 760 8
R 0 32
R 32 32
R 64 32
R 96 32
R 128 32
R 160 32
R 192 32
R 224 32
R 256 32
R 288 32
R 320 32
R 352 32
R 384 32
R 416 32
R 448 32
R 480 32
R 512 32
R 544 32
R 576 32
R 608 32
R 640 32
R 672 32
R 704 32
